Plot,Treatment,Block,Cultivar,NSource,NRate,Year,Seedyield,Oilyield,Biodieselyield,,,
1,16,1,BlaineCreek,N2,N120,2016,222.82,60.48,26.55,,,
2,2,1,Pronghorn,N1,N40,2016,633.21,182.05,79.92,,,
3,5,1,BlaineCreek,N1,N00,2016,127.84,35.26,15.48,,,
4,1,1,Pronghorn,N1,N00,2016,681.6,200.12,87.85,,,
5,13,1,BlaineCreek,N2,N00,2016,234.77,60.03,26.35,,,
6,14,1,BlaineCreek,N2,N40,2016,489.84,131.38,57.67,,,
7,15,1,BlaineCreek,N2,N80,2016,83.63,23.05,10.12,,,
8,11,1,Pronghorn,N2,N80,2016,690.56,204.08,89.59,,,
9,7,1,BlaineCreek,N1,N80,2016,299.28,81.13,35.61,,,
10,13,1,BlaineCreek,N2,N00,2016,910.39,265.61,116.6,,,
11,10,1,Pronghorn,N2,N40,2016,330.35,92.98,40.82,,,
12,10,1,Pronghorn,N2,N40,2016,1157.71,352.25,154.64,,,
13,11,1,Pronghorn,N2,N80,2016,289.73,81.73,35.88,,,
14,5,1,BlaineCreek,N1,N00,2016,450.42,129.26,56.74,,,
15,1,1,Pronghorn,N1,N00,2016,89.61,22.63,9.93,,,
16,12,1,Pronghorn,N2,N120,2016,659.5,187.84,82.46,,,
17,8,2,BlaineCreek,N1,N120,2016,131.42,32.56,14.29,,,
18,9,2,Pronghorn,N2,N00,2016,1063.92,335.37,147.23,,,
19,12,2,Pronghorn,N2,N120,2016,545.4,159.2,69.89,,,
20,15,2,BlaineCreek,N2,N80,2016,1295.1,371.83,163.23,,,
21,2,2,Pronghorn,N1,N40,2016,434.89,126.76,55.65,,,
22,8,2,BlaineCreek,N1,N120,2016,1715.65,506.28,222.26,,,
23,6,2,BlaineCreek,N1,N40,2016,262.84,71.34,31.32,,,
24,16,2,BlaineCreek,N2,N120,2016,1244.92,316.42,138.91,,,
25,4,2,Pronghorn,N1,N120,2016,252.69,72.54,31.85,,,
26,7,2,BlaineCreek,N1,N80,2016,1402.03,405.35,177.95,,,
27,14,2,BlaineCreek,N2,N40,2016,215.65,59.32,26.04,,,
28,3,2,Pronghorn,N1,N80,2016,1250.9,388.57,170.58,,,
29,9,2,Pronghorn,N2,N00,2016,231.78,68.37,30.01,,,
30,4,2,Pronghorn,N1,N120,2016,1517.92,472.18,207.29,,,
31,3,2,Pronghorn,N1,N80,2016,491.04,139.35,61.18,,,
32,6,2,BlaineCreek,N1,N40,2016,1615.89,469.68,206.19,,,
33,16,3,BlaineCreek,N2,N120,2016,617.08,173.66,76.24,,,
34,14,3,BlaineCreek,N2,N40,2016,1022.1,293.91,129.03,,,
35,10,3,Pronghorn,N2,N40,2016,665.47,173.58,76.2,,,
36,2,3,Pronghorn,N1,N40,2016,1031.06,314.31,137.98,,,
37,13,3,BlaineCreek,N2,N00,2016,313.62,86.8,38.11,,,
38,8,3,BlaineCreek,N1,N120,2016,1250.9,329.34,144.58,,,
39,7,3,BlaineCreek,N1,N80,2016,948.03,268.06,117.68,,,
40,11,3,Pronghorn,N2,N80,2016,1175.03,350.52,153.88,,,
41,1,3,Pronghorn,N1,N00,2016,150.54,41.95,18.42,,,
42,10,3,Pronghorn,N2,N40,2016,710.27,205.82,90.35,,,
43,5,3,BlaineCreek,N1,N00,2016,31.06,6.54,2.87,,,
44,4,3,Pronghorn,N1,N120,2016,1918.16,552.33,242.47,,,
45,9,3,Pronghorn,N2,N00,2016,206.99,54.46,23.91,,,
46,16,3,BlaineCreek,N2,N120,2016,2479.09,751.23,329.79,,,
47,3,3,Pronghorn,N1,N80,2016,896.65,220.27,96.7,,,
48,13,3,BlaineCreek,N2,N00,2016,1894.27,618.81,271.66,,,
49,12,4,Pronghorn,N2,N120,2016,571.09,154.55,67.85,,,
50,3,4,Pronghorn,N1,N80,2016,2409.2,800.75,351.53,,,
51,14,4,BlaineCreek,N2,N40,2016,902.63,254.21,111.6,,,
52,7,4,BlaineCreek,N1,N80,2016,2422.94,795.06,349.03,,,
53,15,4,BlaineCreek,N2,N80,2016,1547.19,452.44,198.62,,,
54,5,4,BlaineCreek,N1,N00,2016,1004.18,312.2,137.06,,,
55,8,4,BlaineCreek,N1,N120,2016,1320.19,400.99,176.03,,,
56,15,4,BlaineCreek,N2,N80,2016,2439.07,741.52,325.53,,,
57,4,4,Pronghorn,N1,N120,2016,536.44,142.36,62.49,,,
58,12,4,Pronghorn,N2,N120,2016,2311.23,700.99,307.74,,,
59,2,4,Pronghorn,N1,N40,2016,553.76,177.83,78.07,,,
60,6,4,BlaineCreek,N1,N40,2016,719.24,225.86,99.15,,,
61,11,4,Pronghorn,N2,N80,2016,1342.89,398.99,175.16,,,
62,9,4,Pronghorn,N2,N00,2016,1147.55,343.39,150.75,,,
63,6,4,BlaineCreek,N1,N40,2016,647.55,180.22,79.12,,,
64,1,4,Pronghorn,N1,N00,2016,530.47,365.78,160.58,,,
65,16,1,BlaineCreek,N2,N120,2017,735.96,220.79,96.93,,,
66,2,1,Pronghorn,N1,N40,2017,174.56,55.87,24.53,,,
67,5,1,BlaineCreek,N1,N00,2017,192.98,61.12,26.83,,,
68,1,1,Pronghorn,N1,N00,2017,293.86,91.56,40.2,,,
69,13,1,BlaineCreek,N2,N00,2017,376.32,117.86,51.74,,,
70,14,1,BlaineCreek,N2,N40,2017,289.47,90.46,39.71,,,
71,15,1,BlaineCreek,N2,N80,2017,377.19,114.53,50.28,,,
72,11,1,Pronghorn,N2,N80,2017,407.02,129.06,56.66,,,
73,7,1,BlaineCreek,N1,N80,2017,962.28,298.5,131.04,,,
74,13,1,BlaineCreek,N2,N00,2017,959.65,301.46,132.34,,,
75,10,1,Pronghorn,N2,N40,2017,491.23,153.22,67.26,,,
76,10,1,Pronghorn,N2,N40,2017,102.63,33.8,14.84,,,
77,11,1,Pronghorn,N2,N80,2017,128.07,40.52,17.79,,,
78,5,1,BlaineCreek,N1,N00,2017,477.19,154.37,67.77,,,
79,1,1,Pronghorn,N1,N00,2017,100,30.92,13.57,,,
80,12,1,Pronghorn,N2,N120,2017,131.58,41.86,18.37,,,
81,8,2,BlaineCreek,N1,N120,2017,621.93,190.73,83.73,,,
82,9,2,Pronghorn,N2,N00,2017,160.53,52.14,22.89,,,
83,12,2,Pronghorn,N2,N120,2017,146.49,45.25,19.87,,,
84,15,2,BlaineCreek,N2,N80,2017,883.33,280.66,123.21,,,
85,2,2,Pronghorn,N1,N40,2017,377.19,120.38,52.85,,,
86,8,2,BlaineCreek,N1,N120,2017,1492.11,469.18,205.97,,,
87,6,2,BlaineCreek,N1,N40,2017,828.07,266.56,117.02,,,
88,16,2,BlaineCreek,N2,N120,2017,1464.91,458.19,201.15,,,
89,4,2,Pronghorn,N1,N120,2017,199.12,62.01,27.22,,,
90,7,2,BlaineCreek,N1,N80,2017,124.56,39.88,17.51,,,
91,14,2,BlaineCreek,N2,N40,2017,372.81,119.52,52.47,,,
92,3,2,Pronghorn,N1,N80,2017,442.98,144.5,63.44,,,
93,9,2,Pronghorn,N2,N00,2017,135.96,42.66,18.73,,,
94,4,2,Pronghorn,N1,N120,2017,1117.54,354.71,155.72,,,
95,3,2,Pronghorn,N1,N80,2017,446.49,141.94,62.31,,,
96,6,2,BlaineCreek,N1,N40,2017,944.74,310.21,136.18,,,
97,16,3,BlaineCreek,N2,N120,2017,1080.7,332.73,146.07,,,
98,14,3,BlaineCreek,N2,N40,2017,857.02,281.89,123.75,,,
99,10,3,Pronghorn,N2,N40,2017,197.37,63.93,28.07,,,#NAME?
100,2,3,Pronghorn,N1,N40,2017,884.21,289,126.87,,,
101,13,3,BlaineCreek,N2,N00,2017,675.44,212.32,93.21,,,
102,8,3,BlaineCreek,N1,N120,2017,1200,371.35,163.02,,,
103,7,3,BlaineCreek,N1,N80,2017,1036.84,329.98,144.86,,,
104,11,3,Pronghorn,N2,N80,2017,364.91,120.7,52.99,,,
105,1,3,Pronghorn,N1,N00,2017,100.88,32.11,14.1,,,
106,10,3,Pronghorn,N2,N40,2017,170.18,55.52,24.37,,,
107,5,3,BlaineCreek,N1,N00,2017,871.93,278.8,122.39,,,
108,4,3,Pronghorn,N1,N120,2017,1505.26,478.88,210.23,,,
109,9,3,Pronghorn,N2,N00,2017,357.89,110,48.29,,,
110,16,3,BlaineCreek,N2,N120,2017,1490.35,463.8,203.61,,,
111,3,3,Pronghorn,N1,N80,2017,517.54,160.81,70.6,,,
112,13,3,BlaineCreek,N2,N00,2017,1165.79,381.72,167.58,,,
113,12,4,Pronghorn,N2,N120,2017,359.65,110.7,48.6,,,
114,3,4,Pronghorn,N1,N80,2017,1093.86,348.47,152.98,,,
115,14,4,BlaineCreek,N2,N40,2017,535.09,170.39,74.8,,,
116,7,4,BlaineCreek,N1,N80,2017,1385.09,438.39,192.45,,,
117,15,4,BlaineCreek,N2,N80,2017,1017.54,321.1,140.96,,,
118,5,4,BlaineCreek,N1,N00,2017,964.91,304.62,133.73,,,
119,8,4,BlaineCreek,N1,N120,2017,1270.18,394.34,173.11,,,
120,15,4,BlaineCreek,N2,N80,2017,1388.6,436.31,191.54,,,
121,4,4,Pronghorn,N1,N120,2017,575.44,179.55,78.82,,,
122,12,4,Pronghorn,N2,N120,2017,905.26,285.78,125.46,,,
123,2,4,Pronghorn,N1,N40,2017,807.02,252.51,110.85,,,
124,6,4,BlaineCreek,N1,N40,2017,728.07,231.15,101.48,,,
125,11,4,Pronghorn,N2,N80,2017,657.89,202.39,88.85,,,
126,9,4,Pronghorn,N2,N00,2017,385.96,120.22,52.78,,,
127,6,4,BlaineCreek,N1,N40,2017,587.72,180.63,79.3,,,
128,1,4,Pronghorn,N1,N00,2017,403.51,124.01,54.44,,,
